lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,2022-12-24 18:18:09.447797,,,,,,,,,,,,,,
,2022-12-24 18:18:10.191022,0.041648492217063904,0.00014900238602422178,0.041648492217063904,4999.0,19.0,,,,,,,,,
,2022-12-24 18:18:13.606385,,,,,19.0,0.3027627766132355,0.0019825673662126064,0.3027627766132355,0.3244994878768921,0.003337811678647995,0.3244994878768921,,,
,2022-12-24 18:18:15.904367,,,,,19.0,,,,,,,0.18083670735359192,0.004047831986099482,0.18083670735359192
0.01,2022-12-24 18:21:03.698733,,,,,,,,,,,,,,
,2022-12-24 18:21:04.459540,0.16047713160514832,0.0006883210735395551,0.16047713160514832,5049.0,20.0,,,,,,,,,
0.01,2022-12-24 18:21:41.268020,,,,,,,,,,,,,,
,2022-12-24 18:21:42.026093,0.028662214055657387,0.00011675043788272887,0.028662214055657387,5099.0,20.0,,,,,,,,,
0.01,2022-12-24 18:22:16.443896,,,,,,,,,,,,,,
,2022-12-24 18:22:17.182275,0.012353544123470783,5.504456930793822e-05,0.012353544123470783,5149.0,20.0,,,,,,,,,
0.01,2022-12-24 18:22:53.708910,,,,,,,,,,,,,,
,2022-12-24 18:22:54.530319,0.03061804175376892,0.00011578020348679274,0.03061804175376892,5199.0,20.0,,,,,,,,,
0.01,2022-12-24 18:23:31.323485,,,,,,,,,,,,,,
,2022-12-24 18:23:32.045267,0.12475136667490005,0.0004600760294124484,0.12475136667490005,5249.0,20.0,,,,,,,,,
,2022-12-24 18:23:35.226995,,,,,20.0,0.12154723703861237,0.0004478770133573562,0.12154723703861237,0.1996341347694397,0.0009269277798011899,0.1996341347694397,,,
,2022-12-24 18:23:37.404607,,,,,20.0,,,,,,,0.16435076296329498,0.0020932136103510857,0.16435076296329498
0.01,2022-12-24 18:24:14.777389,,,,,,,,,,,,,,
,2022-12-24 18:24:15.538193,0.026087269186973572,9.824190055951476e-05,0.026087269186973572,5299.0,21.0,,,,,,,,,
0.01,2022-12-24 18:24:51.982366,,,,,,,,,,,,,,
,2022-12-24 18:24:52.771658,0.2585161626338959,0.0014239484444260597,0.2585161626338959,5349.0,21.0,,,,,,,,,
0.01,2022-12-24 18:25:29.388208,,,,,,,,,,,,,,
,2022-12-24 18:25:30.200829,0.14572888612747192,0.0006214806926436722,0.14572888612747192,5399.0,21.0,,,,,,,,,
